"","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)"
"Malaysia","7 129 [6 050 - 8 209]","24.0"
"Maldives","12","3.5"
"Mali","3 920 [3 193 - 4 648]","25.6"
"Malta","22","5.1"
"Marshall Islands","3","5.7"
"Mauritania","952 [788 - 1 116]","24.5"
"Mauritius","152","12.2"
"Mexico","15 062","12.3"
"Micronesia (Federated States of)","2","1.9"
"Monaco","0.00000",".0"
"Mongolia","597 [538 - 656]","21.0"
"Montenegro","74","11.9"
"Morocco","6 870 [5 831 - 7 910]","20.8"
"Mozambique","8 173 [6 502 - 9 843]","31.6"
"Myanmar","10 809 [8 790 - 12 829]","20.3"
"Namibia","551 [474 - 628]","23.9"
"Nepal","4 713 [3 880 - 5 546]","17.0"
"Netherlands","574","3.4"
"New Zealand","272","6.0"
"Nicaragua","931 [843 - 1 020]","15.3"
"Niger","4 706 [3 741 - 5 670]","26.4"
"Nigeria","35 641 [27 949 - 43 332]","20.5"
"Norway","192","3.8"
"Oman","924","25.4"
"Pakistan","25 781 [20 979 - 30 582]","14.2"
"Palau","1","4.8"
"Panama","386","10.0"
"Papua New Guinea","1 232 [1 058 - 1 405]","16.8"
"Paraguay","1 408","20.7"
"Peru","4 234 [3 826 - 4 643]","13.9"
"Philippines","10 379","10.5"
"Poland","3 931","10.3"
"Portugal","828","7.8"
"Qatar","330","15.2"
"Republic of Korea","5 931","12.0"
"Republic of Moldova","437","12.5"
"Romania","1 881","8.7"
"Russian Federation","27 025","18.9"
"Rwanda","3 782 [3 022 - 4 541]","32.1"
"Saint Lucia","33","18.1"
"Saint Vincent and the Grenadines","9","8.2"
"Samoa","30 [27 - 33]","15.8"
"San Marino","1","3.2"
"Sao Tome and Principe","60 [47 - 73]","31.1"
"Saudi Arabia","7 898 [7 002 - 8 795]","27.4"
"Senegal","3 844 [3 214 - 4 474]","27.2"
"Serbia","735","7.7"
"Seychelles","8","8.6"
"Sierra Leone","1 661 [1 334 - 1 988]","27.3"
"Singapore","197","3.6"
"Slovakia","360","6.6"
"Slovenia","132","6.4"
"Solomon Islands","108 [96 - 120]","19.2"
"Somalia","2 664 [2 092 - 3 237]","25.4"
"South Africa","13 273","25.1"
"South Sudan","","27.9"
"Spain","1 730","3.7"
"Sri Lanka","3 691 [3 245 - 4 137]","17.4"
"Sudan","9 221 [7 746 - 10 697]","24.3"
"Suriname","103","19.1"
"Sweden","272","2.8"
"Switzerland","269","3.3"
"Syrian Arab Republic","","20.0"
"Tajikistan","1 543 [1 387 - 1 699]","18.8"
"Thailand","24 237","36.2"
"The former Yugoslav republic of Macedonia","198","9.4"
"Timor-Leste","188 [158 - 219]","16.6"
"Togo","2 123 [1 719 - 2 526]","31.1"
"Tonga","8","7.6"
"Trinidad and Tobago","189","14.1"
"Tunisia","2 679 [2 346 - 3 012]","24.4"
"Turkey","6 687","8.9"
"Turkmenistan","914 [844 - 983]","17.4"
"Uganda","10 280 [7 820 - 12 739]","27.4"
"Ukraine","","10.6"
"United Arab Emirates","1 021 [845 - 1 198]","10.9"
"United Kingdom of Great Britain and Northern Ireland","1 827","2.9"
"United Republic of Tanzania","16 211 [13 116 - 19 307]","32.9"
"United States of America","34 064","10.6"
"Uruguay","567","16.6"
"Uzbekistan","3 240","11.2"
"Vanuatu","42 [37 - 47]","16.6"
"Venezuela (Bolivarian Republic of)","","45.1"
"Viet Nam","22 419","24.5"
"Yemen","5 248 [4 426 - 6 069]","21.5"
"Zambia","3 586 [2 914 - 4 257]","24.7"
"Zimbabwe","3 985 [3 319 - 4 652]","28.2"
